Part 6 - Behavioral Incentive (Prize)

Assumptions
Prize Value,$40000
Prize Threshold,400
Prize Probability,0.05

Results
Q* (without prize),270
Q** (with prize),400
Base Profit at Q*,$370.00
Base Profit at Q**,$257.33
Expected Prize at Q*,$0.00
Expected Prize at Q**,$133.33
Total E[Profit] at Q*,$370.00
Total E[Profit] at Q**,$390.67

Profit by Order Quantity
Q,Expected Sales,Base Profit,P(Sales>=Threshold),Expected Prize,Total E[Profit]
272,233.49,369.97,0.0000,0.00,369.97
273,233.99,369.94,0.0000,0.00,369.94
274,234.47,369.89,0.0000,0.00,369.89
275,234.96,369.83,0.0000,0.00,369.83
276,235.44,369.76,0.0000,0.00,369.76
277,235.92,369.67,0.0000,0.00,369.67
278,236.39,369.57,0.0000,0.00,369.57
279,236.87,369.46,0.0000,0.00,369.46
280,237.33,369.33,0.0000,0.00,369.33
281,237.80,369.19,0.0000,0.00,369.19
282,238.26,369.04,0.0000,0.00,369.04
283,238.72,368.87,0.0000,0.00,368.87
284,239.17,368.69,0.0000,0.00,368.69
285,239.62,368.50,0.0000,0.00,368.50
286,240.07,368.29,0.0000,0.00,368.29
287,240.52,368.07,0.0000,0.00,368.07
288,240.96,367.84,0.0000,0.00,367.84
289,241.40,367.59,0.0000,0.00,367.59
290,241.83,367.33,0.0000,0.00,367.33
291,242.26,367.06,0.0000,0.00,367.06
292,242.69,366.77,0.0000,0.00,366.77
293,243.12,366.47,0.0000,0.00,366.47
294,243.54,366.16,0.0000,0.00,366.16
295,243.96,365.83,0.0000,0.00,365.83
296,244.37,365.49,0.0000,0.00,365.49
297,244.78,365.14,0.0000,0.00,365.14
298,245.19,364.77,0.0000,0.00,364.77
299,245.60,364.39,0.0000,0.00,364.39
300,246.00,364.00,0.0000,0.00,364.00
301,246.40,363.59,0.0000,0.00,363.59
302,246.79,363.17,0.0000,0.00,363.17
303,247.19,362.74,0.0000,0.00,362.74
304,247.57,362.29,0.0000,0.00,362.29
305,247.96,361.83,0.0000,0.00,361.83
306,248.34,361.36,0.0000,0.00,361.36
307,248.72,360.87,0.0000,0.00,360.87
308,249.09,360.37,0.0000,0.00,360.37
309,249.46,359.86,0.0000,0.00,359.86
310,249.83,359.33,0.0000,0.00,359.33
311,250.20,358.79,0.0000,0.00,358.79
312,250.56,358.24,0.0000,0.00,358.24
313,250.92,357.67,0.0000,0.00,357.67
314,251.27,357.09,0.0000,0.00,357.09
315,251.62,356.50,0.0000,0.00,356.50
316,251.97,355.89,0.0000,0.00,355.89
317,252.32,355.27,0.0000,0.00,355.27
318,252.66,354.64,0.0000,0.00,354.64
319,253.00,353.99,0.0000,0.00,353.99
320,253.33,353.33,0.0000,0.00,353.33
321,253.67,352.66,0.0000,0.00,352.66
322,253.99,351.97,0.0000,0.00,351.97
323,254.32,351.27,0.0000,0.00,351.27
324,254.64,350.56,0.0000,0.00,350.56
325,254.96,349.83,0.0000,0.00,349.83
326,255.27,349.09,0.0000,0.00,349.09
327,255.59,348.34,0.0000,0.00,348.34
328,255.89,347.57,0.0000,0.00,347.57
329,256.20,346.79,0.0000,0.00,346.79
330,256.50,346.00,0.0000,0.00,346.00
331,256.80,345.19,0.0000,0.00,345.19
332,257.09,344.37,0.0000,0.00,344.37
333,257.38,343.54,0.0000,0.00,343.54
334,257.67,342.69,0.0000,0.00,342.69
335,257.96,341.83,0.0000,0.00,341.83
336,258.24,340.96,0.0000,0.00,340.96
337,258.52,340.07,0.0000,0.00,340.07
338,258.79,339.17,0.0000,0.00,339.17
339,259.06,338.26,0.0000,0.00,338.26
340,259.33,337.33,0.0000,0.00,337.33
341,259.60,336.39,0.0000,0.00,336.39
342,259.86,335.44,0.0000,0.00,335.44
343,260.12,334.47,0.0000,0.00,334.47
344,260.37,333.49,0.0000,0.00,333.49
345,260.62,332.50,0.0000,0.00,332.50
346,260.87,331.49,0.0000,0.00,331.49
347,261.12,330.47,0.0000,0.00,330.47
348,261.36,329.44,0.0000,0.00,329.44
349,261.60,328.39,0.0000,0.00,328.39
350,261.83,327.33,0.0000,0.00,327.33
351,262.06,326.26,0.0000,0.00,326.26
352,262.29,325.17,0.0000,0.00,325.17
353,262.52,324.07,0.0000,0.00,324.07
354,262.74,322.96,0.0000,0.00,322.96
355,262.96,321.83,0.0000,0.00,321.83
356,263.17,320.69,0.0000,0.00,320.69
357,263.38,319.54,0.0000,0.00,319.54
358,263.59,318.37,0.0000,0.00,318.37
359,263.80,317.19,0.0000,0.00,317.19
360,264.00,316.00,0.0000,0.00,316.00
361,264.20,314.79,0.0000,0.00,314.79
362,264.39,313.57,0.0000,0.00,313.57
363,264.59,312.34,0.0000,0.00,312.34
364,264.77,311.09,0.0000,0.00,311.09
365,264.96,309.83,0.0000,0.00,309.83
366,265.14,308.56,0.0000,0.00,308.56
367,265.32,307.27,0.0000,0.00,307.27
368,265.49,305.97,0.0000,0.00,305.97
369,265.67,304.66,0.0000,0.00,304.66
370,265.83,303.33,0.0000,0.00,303.33
371,266.00,301.99,0.0000,0.00,301.99
372,266.16,300.64,0.0000,0.00,300.64
373,266.32,299.27,0.0000,0.00,299.27
374,266.47,297.89,0.0000,0.00,297.89
375,266.62,296.50,0.0000,0.00,296.50
376,266.77,295.09,0.0000,0.00,295.09
377,266.92,293.67,0.0000,0.00,293.67
378,267.06,292.24,0.0000,0.00,292.24
379,267.20,290.79,0.0000,0.00,290.79
380,267.33,289.33,0.0000,0.00,289.33
381,267.47,287.86,0.0000,0.00,287.86
382,267.59,286.37,0.0000,0.00,286.37
383,267.72,284.87,0.0000,0.00,284.87
384,267.84,283.36,0.0000,0.00,283.36
385,267.96,281.83,0.0000,0.00,281.83
386,268.07,280.29,0.0000,0.00,280.29
387,268.19,278.74,0.0000,0.00,278.74
388,268.29,277.17,0.0000,0.00,277.17
389,268.40,275.59,0.0000,0.00,275.59
390,268.50,274.00,0.0000,0.00,274.00
391,268.60,272.39,0.0000,0.00,272.39
392,268.69,270.77,0.0000,0.00,270.77
393,268.78,269.14,0.0000,0.00,269.14
394,268.87,267.49,0.0000,0.00,267.49
395,268.96,265.83,0.0000,0.00,265.83
396,269.04,264.16,0.0000,0.00,264.16
397,269.12,262.47,0.0000,0.00,262.47
398,269.19,260.77,0.0000,0.00,260.77
399,269.26,259.06,0.0000,0.00,259.06
400,269.33,257.33,0.0667,133.33,390.67
401,269.40,255.59,0.0667,133.33,388.93
402,269.46,253.84,0.0667,133.33,387.17
403,269.52,252.07,0.0667,133.33,385.41
404,269.57,250.29,0.0667,133.33,383.63
405,269.62,248.50,0.0667,133.33,381.83
406,269.67,246.69,0.0667,133.33,380.03
407,269.72,244.87,0.0667,133.33,378.21
408,269.76,243.04,0.0667,133.33,376.37
409,269.80,241.19,0.0667,133.33,374.53
410,269.83,239.33,0.0667,133.33,372.67
411,269.87,237.46,0.0667,133.33,370.79
412,269.89,235.57,0.0667,133.33,368.91
413,269.92,233.67,0.0667,133.33,367.01
414,269.94,231.76,0.0667,133.33,365.09
415,269.96,229.83,0.0667,133.33,363.17
416,269.97,227.89,0.0667,133.33,361.23
417,269.99,225.94,0.0667,133.33,359.27
418,269.99,223.97,0.0667,133.33,357.31
419,270.00,221.99,0.0667,133.33,355.33
420,270.00,220.00,0.0667,133.33,353.33
421,270.00,218.00,0.0667,133.33,351.33
422,270.00,216.00,0.0667,133.33,349.33
423,270.00,214.00,0.0667,133.33,347.33
424,270.00,212.00,0.0667,133.33,345.33
425,270.00,210.00,0.0667,133.33,343.33
426,270.00,208.00,0.0667,133.33,341.33
427,270.00,206.00,0.0667,133.33,339.33
428,270.00,204.00,0.0667,133.33,337.33
429,270.00,202.00,0.0667,133.33,335.33
430,270.00,200.00,0.0667,133.33,333.33
431,270.00,198.00,0.0667,133.33,331.33
432,270.00,196.00,0.0667,133.33,329.33
433,270.00,194.00,0.0667,133.33,327.33
434,270.00,192.00,0.0667,133.33,325.33
435,270.00,190.00,0.0667,133.33,323.33
436,270.00,188.00,0.0667,133.33,321.33
437,270.00,186.00,0.0667,133.33,319.33
438,270.00,184.00,0.0667,133.33,317.33
439,270.00,182.00,0.0667,133.33,315.33
440,270.00,180.00,0.0667,133.33,313.33
441,270.00,178.00,0.0667,133.33,311.33
442,270.00,176.00,0.0667,133.33,309.33
443,270.00,174.00,0.0667,133.33,307.33
444,270.00,172.00,0.0667,133.33,305.33
445,270.00,170.00,0.0667,133.33,303.33
446,270.00,168.00,0.0667,133.33,301.33
447,270.00,166.00,0.0667,133.33,299.33
448,270.00,164.00,0.0667,133.33,297.33
449,270.00,162.00,0.0667,133.33,295.33
450,270.00,160.00,0.0667,133.33,293.33
451,270.00,158.00,0.0667,133.33,291.33
452,270.00,156.00,0.0667,133.33,289.33
453,270.00,154.00,0.0667,133.33,287.33
454,270.00,152.00,0.0667,133.33,285.33
455,270.00,150.00,0.0667,133.33,283.33
456,270.00,148.00,0.0667,133.33,281.33
457,270.00,146.00,0.0667,133.33,279.33
458,270.00,144.00,0.0667,133.33,277.33
459,270.00,142.00,0.0667,133.33,275.33
460,270.00,140.00,0.0667,133.33,273.33
461,270.00,138.00,0.0667,133.33,271.33
462,270.00,136.00,0.0667,133.33,269.33
463,270.00,134.00,0.0667,133.33,267.33
464,270.00,132.00,0.0667,133.33,265.33
465,270.00,130.00,0.0667,133.33,263.33
466,270.00,128.00,0.0667,133.33,261.33
467,270.00,126.00,0.0667,133.33,259.33
468,270.00,124.00,0.0667,133.33,257.33
469,270.00,122.00,0.0667,133.33,255.33
