Part 5 - Risk & Simulation Results

Summary Statistics
Order Quantity (Q*),270
Number of Trials,500
Random Seed,6334
Mean Profit,$372.98
Standard Deviation,$194.25
Minimum Profit,$-80.00
Maximum Profit,$520.00
Number of Losses,34
Probability of Loss,0.0680

Trial Data
Trial,Demand,Sales,Leftover,Revenue,Salvage,Shipping,Ordering,Variable Cost,Profit,Loss
133,366.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
134,335.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
135,319.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
136,404.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
137,237.00,237.00,33.00,1185.00,49.50,16.50,20.00,810.00,388.00,0
138,265.00,265.00,5.00,1325.00,7.50,2.50,20.00,810.00,500.00,0
139,327.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
140,130.00,130.00,140.00,650.00,210.00,70.00,20.00,810.00,-40.00,1
141,203.00,203.00,67.00,1015.00,100.50,33.50,20.00,810.00,252.00,0
142,131.00,131.00,139.00,655.00,208.50,69.50,20.00,810.00,-36.00,1
143,349.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
144,289.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
145,341.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
146,300.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
147,283.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
148,328.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
149,323.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
150,254.00,254.00,16.00,1270.00,24.00,8.00,20.00,810.00,456.00,0
151,367.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
152,246.00,246.00,24.00,1230.00,36.00,12.00,20.00,810.00,424.00,0
153,418.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
154,356.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
155,413.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
156,327.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
157,398.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
158,258.00,258.00,12.00,1290.00,18.00,6.00,20.00,810.00,472.00,0
159,385.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
160,405.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
161,406.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
162,238.00,238.00,32.00,1190.00,48.00,16.00,20.00,810.00,392.00,0
163,218.00,218.00,52.00,1090.00,78.00,26.00,20.00,810.00,312.00,0
164,251.00,251.00,19.00,1255.00,28.50,9.50,20.00,810.00,444.00,0
165,121.00,121.00,149.00,605.00,223.50,74.50,20.00,810.00,-76.00,1
166,137.00,137.00,133.00,685.00,199.50,66.50,20.00,810.00,-12.00,1
167,131.00,131.00,139.00,655.00,208.50,69.50,20.00,810.00,-36.00,1
168,316.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
169,166.00,166.00,104.00,830.00,156.00,52.00,20.00,810.00,104.00,0
170,291.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
171,299.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
172,346.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
173,251.00,251.00,19.00,1255.00,28.50,9.50,20.00,810.00,444.00,0
174,417.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
175,207.00,207.00,63.00,1035.00,94.50,31.50,20.00,810.00,268.00,0
176,339.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
177,242.00,242.00,28.00,1210.00,42.00,14.00,20.00,810.00,408.00,0
178,358.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
179,126.00,126.00,144.00,630.00,216.00,72.00,20.00,810.00,-56.00,1
180,371.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
181,384.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
182,191.00,191.00,79.00,955.00,118.50,39.50,20.00,810.00,204.00,0
183,160.00,160.00,110.00,800.00,165.00,55.00,20.00,810.00,80.00,0
184,164.00,164.00,106.00,820.00,159.00,53.00,20.00,810.00,96.00,0
185,294.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
186,130.00,130.00,140.00,650.00,210.00,70.00,20.00,810.00,-40.00,1
187,279.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
188,238.00,238.00,32.00,1190.00,48.00,16.00,20.00,810.00,392.00,0
189,310.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
190,316.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
191,227.00,227.00,43.00,1135.00,64.50,21.50,20.00,810.00,348.00,0
192,304.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
193,234.00,234.00,36.00,1170.00,54.00,18.00,20.00,810.00,376.00,0
194,254.00,254.00,16.00,1270.00,24.00,8.00,20.00,810.00,456.00,0
195,339.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
196,165.00,165.00,105.00,825.00,157.50,52.50,20.00,810.00,100.00,0
197,163.00,163.00,107.00,815.00,160.50,53.50,20.00,810.00,92.00,0
198,276.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
199,228.00,228.00,42.00,1140.00,63.00,21.00,20.00,810.00,352.00,0
200,406.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
201,353.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
202,336.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
203,352.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
204,331.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
205,361.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
206,203.00,203.00,67.00,1015.00,100.50,33.50,20.00,810.00,252.00,0
207,228.00,228.00,42.00,1140.00,63.00,21.00,20.00,810.00,352.00,0
208,149.00,149.00,121.00,745.00,181.50,60.50,20.00,810.00,36.00,0
209,132.00,132.00,138.00,660.00,207.00,69.00,20.00,810.00,-32.00,1
210,284.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
211,335.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
212,385.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
213,201.00,201.00,69.00,1005.00,103.50,34.50,20.00,810.00,244.00,0
214,417.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
215,233.00,233.00,37.00,1165.00,55.50,18.50,20.00,810.00,372.00,0
216,296.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
217,346.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
218,240.00,240.00,30.00,1200.00,45.00,15.00,20.00,810.00,400.00,0
219,409.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
220,166.00,166.00,104.00,830.00,156.00,52.00,20.00,810.00,104.00,0
221,167.00,167.00,103.00,835.00,154.50,51.50,20.00,810.00,108.00,0
222,218.00,218.00,52.00,1090.00,78.00,26.00,20.00,810.00,312.00,0
223,223.00,223.00,47.00,1115.00,70.50,23.50,20.00,810.00,332.00,0
224,381.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
225,162.00,162.00,108.00,810.00,162.00,54.00,20.00,810.00,88.00,0
226,295.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
227,222.00,222.00,48.00,1110.00,72.00,24.00,20.00,810.00,328.00,0
228,346.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
229,278.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
230,362.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
231,179.00,179.00,91.00,895.00,136.50,45.50,20.00,810.00,156.00,0
232,406.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
233,166.00,166.00,104.00,830.00,156.00,52.00,20.00,810.00,104.00,0
234,414.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
235,300.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
236,334.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
237,161.00,161.00,109.00,805.00,163.50,54.50,20.00,810.00,84.00,0
238,141.00,141.00,129.00,705.00,193.50,64.50,20.00,810.00,4.00,0
239,199.00,199.00,71.00,995.00,106.50,35.50,20.00,810.00,236.00,0
240,196.00,196.00,74.00,980.00,111.00,37.00,20.00,810.00,224.00,0
241,134.00,134.00,136.00,670.00,204.00,68.00,20.00,810.00,-24.00,1
242,298.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
243,362.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
244,303.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
245,400.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
246,264.00,264.00,6.00,1320.00,9.00,3.00,20.00,810.00,496.00,0
247,238.00,238.00,32.00,1190.00,48.00,16.00,20.00,810.00,392.00,0
248,344.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
249,132.00,132.00,138.00,660.00,207.00,69.00,20.00,810.00,-32.00,1
250,157.00,157.00,113.00,785.00,169.50,56.50,20.00,810.00,68.00,0
251,235.00,235.00,35.00,1175.00,52.50,17.50,20.00,810.00,380.00,0
252,338.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
253,255.00,255.00,15.00,1275.00,22.50,7.50,20.00,810.00,460.00,0
254,164.00,164.00,106.00,820.00,159.00,53.00,20.00,810.00,96.00,0
255,378.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
256,341.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
257,412.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
258,233.00,233.00,37.00,1165.00,55.50,18.50,20.00,810.00,372.00,0
259,211.00,211.00,59.00,1055.00,88.50,29.50,20.00,810.00,284.00,0
260,406.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
261,337.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
262,228.00,228.00,42.00,1140.00,63.00,21.00,20.00,810.00,352.00,0
263,198.00,198.00,72.00,990.00,108.00,36.00,20.00,810.00,232.00,0
264,300.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
265,176.00,176.00,94.00,880.00,141.00,47.00,20.00,810.00,144.00,0
266,378.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
267,281.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
268,227.00,227.00,43.00,1135.00,64.50,21.50,20.00,810.00,348.00,0
269,384.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
270,149.00,149.00,121.00,745.00,181.50,60.50,20.00,810.00,36.00,0
271,278.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
272,303.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
273,355.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
274,128.00,128.00,142.00,640.00,213.00,71.00,20.00,810.00,-48.00,1
275,151.00,151.00,119.00,755.00,178.50,59.50,20.00,810.00,44.00,0
276,165.00,165.00,105.00,825.00,157.50,52.50,20.00,810.00,100.00,0
277,135.00,135.00,135.00,675.00,202.50,67.50,20.00,810.00,-20.00,1
278,420.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
279,308.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
280,267.00,267.00,3.00,1335.00,4.50,1.50,20.00,810.00,508.00,0
281,162.00,162.00,108.00,810.00,162.00,54.00,20.00,810.00,88.00,0
282,318.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
283,125.00,125.00,145.00,625.00,217.50,72.50,20.00,810.00,-60.00,1
284,190.00,190.00,80.00,950.00,120.00,40.00,20.00,810.00,200.00,0
285,267.00,267.00,3.00,1335.00,4.50,1.50,20.00,810.00,508.00,0
286,311.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
287,186.00,186.00,84.00,930.00,126.00,42.00,20.00,810.00,184.00,0
288,355.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
289,160.00,160.00,110.00,800.00,165.00,55.00,20.00,810.00,80.00,0
290,413.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
291,398.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
292,121.00,121.00,149.00,605.00,223.50,74.50,20.00,810.00,-76.00,1
293,164.00,164.00,106.00,820.00,159.00,53.00,20.00,810.00,96.00,0
294,219.00,219.00,51.00,1095.00,76.50,25.50,20.00,810.00,316.00,0
295,204.00,204.00,66.00,1020.00,99.00,33.00,20.00,810.00,256.00,0
296,379.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
297,415.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
298,303.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
299,234.00,234.00,36.00,1170.00,54.00,18.00,20.00,810.00,376.00,0
300,185.00,185.00,85.00,925.00,127.50,42.50,20.00,810.00,180.00,0
301,143.00,143.00,127.00,715.00,190.50,63.50,20.00,810.00,12.00,0
302,375.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
303,282.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
304,369.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
305,208.00,208.00,62.00,1040.00,93.00,31.00,20.00,810.00,272.00,0
306,380.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
307,343.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
308,266.00,266.00,4.00,1330.00,6.00,2.00,20.00,810.00,504.00,0
309,219.00,219.00,51.00,1095.00,76.50,25.50,20.00,810.00,316.00,0
310,136.00,136.00,134.00,680.00,201.00,67.00,20.00,810.00,-16.00,1
311,400.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
312,401.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
313,389.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
314,332.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
315,207.00,207.00,63.00,1035.00,94.50,31.50,20.00,810.00,268.00,0
316,136.00,136.00,134.00,680.00,201.00,67.00,20.00,810.00,-16.00,1
317,233.00,233.00,37.00,1165.00,55.50,18.50,20.00,810.00,372.00,0
318,192.00,192.00,78.00,960.00,117.00,39.00,20.00,810.00,208.00,0
319,213.00,213.00,57.00,1065.00,85.50,28.50,20.00,810.00,292.00,0
320,294.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
321,227.00,227.00,43.00,1135.00,64.50,21.50,20.00,810.00,348.00,0
322,368.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
323,294.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
324,251.00,251.00,19.00,1255.00,28.50,9.50,20.00,810.00,444.00,0
325,140.00,140.00,130.00,700.00,195.00,65.00,20.00,810.00,0.00,0
326,209.00,209.00,61.00,1045.00,91.50,30.50,20.00,810.00,276.00,0
327,292.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
328,184.00,184.00,86.00,920.00,129.00,43.00,20.00,810.00,176.00,0
329,241.00,241.00,29.00,1205.00,43.50,14.50,20.00,810.00,404.00,0
330,193.00,193.00,77.00,965.00,115.50,38.50,20.00,810.00,212.00,0
331,235.00,235.00,35.00,1175.00,52.50,17.50,20.00,810.00,380.00,0
332,413.00,270.00,0.00,1350.00,0.00,0.00,20.00,810.00,520.00,0
333,205.00,205.00,65.00,1025.00,97.50,32.50,20.00,810.00,260.00,0
