Part 8 - Context Signal & Deferred Purchasing

Parameters
Pre-season cost (c0),$3.00
In-season cost (c1),$3.60
P(High),0.45
P(Low),0.55
D|High,Uniform(240,420)
D|Low,Uniform(120,260)

Part 8(b) - Optimal Total by Signal
Q*_H (at c1),308.11
Q*_L (at c1),172.97

Part 8(c) - Optimal Policy
Q0*,207
Q1*(High),101.11
Q1*(Low),0.00
Total Q if High,308.11
Total Q if Low,207.00
Profit if High,$465.28
Profit if Low,$285.87
Expected Profit,$366.60

Part 8(d) - VOSRC
Full Model Profit,$366.60
Baseline Profit,$370.00
VOSRC,$-3.40

Sensitivity - Expected Profit by Q0
Q0,Q1_H,Q1_L,Total_Q_H,Total_Q_L,Profit_H,Profit_L,E[Profit]
24,284.11,148.97,308.11,172.97,357.77,179.06,259.48
25,283.11,147.97,308.11,172.97,358.36,179.65,260.07
26,282.11,146.97,308.11,172.97,358.95,180.23,260.65
27,281.11,145.97,308.11,172.97,359.54,180.81,261.24
28,280.11,144.97,308.11,172.97,360.12,181.39,261.82
29,279.11,143.97,308.11,172.97,360.71,181.98,262.41
30,278.11,142.97,308.11,172.97,361.30,182.56,262.99
31,277.11,141.97,308.11,172.97,361.89,183.14,263.58
32,276.11,140.97,308.11,172.97,362.47,183.72,264.16
33,275.11,139.97,308.11,172.97,363.06,184.31,264.75
34,274.11,138.97,308.11,172.97,363.65,184.89,265.33
35,273.11,137.97,308.11,172.97,364.24,185.47,265.92
36,272.11,136.97,308.11,172.97,364.82,186.06,266.50
37,271.11,135.97,308.11,172.97,365.41,186.64,267.09
38,270.11,134.97,308.11,172.97,366.00,187.22,267.67
39,269.11,133.97,308.11,172.97,366.59,187.80,268.26
40,268.11,132.97,308.11,172.97,367.17,188.39,268.84
41,267.11,131.97,308.11,172.97,367.76,188.97,269.43
42,266.11,130.97,308.11,172.97,368.35,189.55,270.01
43,265.11,129.97,308.11,172.97,368.94,190.13,270.59
44,264.11,128.97,308.11,172.97,369.52,190.72,271.18
45,263.11,127.97,308.11,172.97,370.11,191.30,271.76
46,262.11,126.97,308.11,172.97,370.70,191.88,272.35
47,261.11,125.97,308.11,172.97,371.29,192.46,272.93
48,260.11,124.97,308.11,172.97,371.87,193.05,273.52
49,259.11,123.97,308.11,172.97,372.46,193.63,274.10
50,258.11,122.97,308.11,172.97,373.05,194.21,274.69
51,257.11,121.97,308.11,172.97,373.64,194.79,275.27
52,256.11,120.97,308.11,172.97,374.22,195.38,275.86
53,255.11,119.97,308.11,172.97,374.81,195.96,276.44
54,254.11,118.97,308.11,172.97,375.40,196.54,277.03
55,253.11,117.97,308.11,172.97,375.99,197.13,277.61
56,252.11,116.97,308.11,172.97,376.57,197.71,278.20
57,251.11,115.97,308.11,172.97,377.16,198.29,278.78
58,250.11,114.97,308.11,172.97,377.75,198.87,279.37
59,249.11,113.97,308.11,172.97,378.34,199.46,279.95
60,248.11,112.97,308.11,172.97,378.92,200.04,280.54
61,247.11,111.97,308.11,172.97,379.51,200.62,281.12
62,246.11,110.97,308.11,172.97,380.10,201.20,281.71
63,245.11,109.97,308.11,172.97,380.69,201.79,282.29
64,244.11,108.97,308.11,172.97,381.27,202.37,282.88
65,243.11,107.97,308.11,172.97,381.86,202.95,283.46
66,242.11,106.97,308.11,172.97,382.45,203.53,284.05
67,241.11,105.97,308.11,172.97,383.04,204.12,284.63
68,240.11,104.97,308.11,172.97,383.62,204.70,285.21
69,239.11,103.97,308.11,172.97,384.21,205.28,285.80
70,238.11,102.97,308.11,172.97,384.80,205.86,286.38
71,237.11,101.97,308.11,172.97,385.38,206.45,286.97
72,236.11,100.97,308.11,172.97,385.97,207.03,287.55
73,235.11,99.97,308.11,172.97,386.56,207.61,288.14
74,234.11,98.97,308.11,172.97,387.15,208.19,288.72
75,233.11,97.97,308.11,172.97,387.73,208.78,289.31
76,232.11,96.97,308.11,172.97,388.32,209.36,289.89
77,231.11,95.97,308.11,172.97,388.91,209.94,290.48
78,230.11,94.97,308.11,172.97,389.50,210.53,291.06
79,229.11,93.97,308.11,172.97,390.08,211.11,291.65
80,228.11,92.97,308.11,172.97,390.67,211.69,292.23
81,227.11,91.97,308.11,172.97,391.26,212.27,292.82
82,226.11,90.97,308.11,172.97,391.85,212.86,293.40
83,225.11,89.97,308.11,172.97,392.43,213.44,293.99
84,224.11,88.97,308.11,172.97,393.02,214.02,294.57
85,223.11,87.97,308.11,172.97,393.61,214.60,295.16
86,222.11,86.97,308.11,172.97,394.20,215.19,295.74
87,221.11,85.97,308.11,172.97,394.78,215.77,296.33
88,220.11,84.97,308.11,172.97,395.37,216.35,296.91
89,219.11,83.97,308.11,172.97,395.96,216.93,297.50
90,218.11,82.97,308.11,172.97,396.55,217.52,298.08
91,217.11,81.97,308.11,172.97,397.13,218.10,298.66
92,216.11,80.97,308.11,172.97,397.72,218.68,299.25
93,215.11,79.97,308.11,172.97,398.31,219.26,299.83
94,214.11,78.97,308.11,172.97,398.90,219.85,300.42
95,213.11,77.97,308.11,172.97,399.48,220.43,301.00
96,212.11,76.97,308.11,172.97,400.07,221.01,301.59
97,211.11,75.97,308.11,172.97,400.66,221.60,302.17
98,210.11,74.97,308.11,172.97,401.25,222.18,302.76
99,209.11,73.97,308.11,172.97,401.83,222.76,303.34
100,208.11,72.97,308.11,172.97,402.42,223.34,303.93
101,207.11,71.97,308.11,172.97,403.01,223.93,304.51
102,206.11,70.97,308.11,172.97,403.60,224.51,305.10
103,205.11,69.97,308.11,172.97,404.18,225.09,305.68
104,204.11,68.97,308.11,172.97,404.77,225.67,306.27
105,203.11,67.97,308.11,172.97,405.36,226.26,306.85
106,202.11,66.97,308.11,172.97,405.95,226.84,307.44
107,201.11,65.97,308.11,172.97,406.53,227.42,308.02
108,200.11,64.97,308.11,172.97,407.12,228.00,308.61
109,199.11,63.97,308.11,172.97,407.71,228.59,309.19
110,198.11,62.97,308.11,172.97,408.30,229.17,309.78
111,197.11,61.97,308.11,172.97,408.88,229.75,310.36
112,196.11,60.97,308.11,172.97,409.47,230.33,310.95
113,195.11,59.97,308.11,172.97,410.06,230.92,311.53
114,194.11,58.97,308.11,172.97,410.65,231.50,312.12
115,193.11,57.97,308.11,172.97,411.23,232.08,312.70
116,192.11,56.97,308.11,172.97,411.82,232.66,313.28
117,191.11,55.97,308.11,172.97,412.41,233.25,313.87
118,190.11,54.97,308.11,172.97,413.00,233.83,314.45
119,189.11,53.97,308.11,172.97,413.58,234.41,315.04
120,188.11,52.97,308.11,172.97,414.17,235.00,315.62
121,187.11,51.97,308.11,172.97,414.76,235.58,316.21
122,186.11,50.97,308.11,172.97,415.35,236.16,316.79
123,185.11,49.97,308.11,172.97,415.93,236.74,317.38
124,184.11,48.97,308.11,172.97,416.52,237.33,317.96
125,183.11,47.97,308.11,172.97,417.11,237.91,318.55
126,182.11,46.97,308.11,172.97,417.69,238.49,319.13
127,181.11,45.97,308.11,172.97,418.28,239.07,319.72
128,180.11,44.97,308.11,172.97,418.87,239.66,320.30
129,179.11,43.97,308.11,172.97,419.46,240.24,320.89
130,178.11,42.97,308.11,172.97,420.04,240.82,321.47
131,177.11,41.97,308.11,172.97,420.63,241.40,322.06
132,176.11,40.97,308.11,172.97,421.22,241.99,322.64
133,175.11,39.97,308.11,172.97,421.81,242.57,323.23
134,174.11,38.97,308.11,172.97,422.39,243.15,323.81
135,173.11,37.97,308.11,172.97,422.98,243.73,324.40
136,172.11,36.97,308.11,172.97,423.57,244.32,324.98
137,171.11,35.97,308.11,172.97,424.16,244.90,325.57
138,170.11,34.97,308.11,172.97,424.74,245.48,326.15
139,169.11,33.97,308.11,172.97,425.33,246.07,326.74
140,168.11,32.97,308.11,172.97,425.92,246.65,327.32
141,167.11,31.97,308.11,172.97,426.51,247.23,327.90
142,166.11,30.97,308.11,172.97,427.09,247.81,328.49
143,165.11,29.97,308.11,172.97,427.68,248.40,329.07
144,164.11,28.97,308.11,172.97,428.27,248.98,329.66
145,163.11,27.97,308.11,172.97,428.86,249.56,330.24
146,162.11,26.97,308.11,172.97,429.44,250.14,330.83
147,161.11,25.97,308.11,172.97,430.03,250.73,331.41
148,160.11,24.97,308.11,172.97,430.62,251.31,332.00
149,159.11,23.97,308.11,172.97,431.21,251.89,332.58
150,158.11,22.97,308.11,172.97,431.79,252.47,333.17
151,157.11,21.97,308.11,172.97,432.38,253.06,333.75
152,156.11,20.97,308.11,172.97,432.97,253.64,334.34
153,155.11,19.97,308.11,172.97,433.56,254.22,334.92
154,154.11,18.97,308.11,172.97,434.14,254.80,335.51
155,153.11,17.97,308.11,172.97,434.73,255.39,336.09
156,152.11,16.97,308.11,172.97,435.32,255.97,336.68
157,151.11,15.97,308.11,172.97,435.91,256.55,337.26
158,150.11,14.97,308.11,172.97,436.49,257.13,337.85
159,149.11,13.97,308.11,172.97,437.08,257.72,338.43
160,148.11,12.97,308.11,172.97,437.67,258.30,339.02
161,147.11,11.97,308.11,172.97,438.26,258.88,339.60
162,146.11,10.97,308.11,172.97,438.84,259.47,340.19
163,145.11,9.97,308.11,172.97,439.43,260.05,340.77
164,144.11,8.97,308.11,172.97,440.02,260.63,341.35
165,143.11,7.97,308.11,172.97,440.61,261.21,341.94
166,142.11,6.97,308.11,172.97,441.19,261.80,342.52
167,141.11,5.97,308.11,172.97,441.78,262.38,343.11
168,140.11,4.97,308.11,172.97,442.37,262.96,343.69
169,139.11,3.97,308.11,172.97,442.96,263.54,344.28
170,138.11,2.97,308.11,172.97,443.54,264.13,344.86
171,137.11,1.97,308.11,172.97,444.13,264.71,345.45
172,136.11,0.97,308.11,172.97,444.72,265.29,346.03
173,135.11,0.00,308.11,173.00,445.31,285.87,357.62
174,134.11,0.00,308.11,174.00,445.89,286.34,358.14
175,133.11,0.00,308.11,175.00,446.48,286.79,358.65
176,132.11,0.00,308.11,176.00,447.07,287.20,359.14
177,131.11,0.00,308.11,177.00,447.65,287.59,359.62
178,130.11,0.00,308.11,178.00,448.24,287.94,360.08
179,129.11,0.00,308.11,179.00,448.83,288.27,360.52
180,128.11,0.00,308.11,180.00,449.42,288.57,360.95
181,127.11,0.00,308.11,181.00,450.00,288.84,361.37
182,126.11,0.00,308.11,182.00,450.59,289.09,361.76
183,125.11,0.00,308.11,183.00,451.18,289.30,362.15
184,124.11,0.00,308.11,184.00,451.77,289.49,362.51
185,123.11,0.00,308.11,185.00,452.35,289.64,362.86
186,122.11,0.00,308.11,186.00,452.94,289.77,363.20
187,121.11,0.00,308.11,187.00,453.53,289.87,363.52
188,120.11,0.00,308.11,188.00,454.12,289.94,363.82
189,119.11,0.00,308.11,189.00,454.70,289.99,364.11
190,118.11,0.00,308.11,190.00,455.29,290.00,364.38
191,117.11,0.00,308.11,191.00,455.88,289.99,364.64
192,116.11,0.00,308.11,192.00,456.47,289.94,364.88
193,115.11,0.00,308.11,193.00,457.05,289.87,365.10
194,114.11,0.00,308.11,194.00,457.64,289.77,365.31
195,113.11,0.00,308.11,195.00,458.23,289.64,365.51
196,112.11,0.00,308.11,196.00,458.82,289.49,365.68
197,111.11,0.00,308.11,197.00,459.40,289.30,365.85
198,110.11,0.00,308.11,198.00,459.99,289.09,365.99
199,109.11,0.00,308.11,199.00,460.58,288.84,366.12
200,108.11,0.00,308.11,200.00,461.17,288.57,366.24
201,107.11,0.00,308.11,201.00,461.75,288.27,366.34
202,106.11,0.00,308.11,202.00,462.34,287.94,366.42
203,105.11,0.00,308.11,203.00,462.93,287.59,366.49
204,104.11,0.00,308.11,204.00,463.52,287.20,366.54
205,103.11,0.00,308.11,205.00,464.10,286.79,366.58
206,102.11,0.00,308.11,206.00,464.69,286.34,366.60
207,101.11,0.00,308.11,207.00,465.28,285.87,366.60
208,100.11,0.00,308.11,208.00,465.87,285.37,366.59
209,99.11,0.00,308.11,209.00,466.45,284.84,366.57
210,98.11,0.00,308.11,210.00,467.04,284.29,366.53
211,97.11,0.00,308.11,211.00,467.63,283.70,366.47
212,96.11,0.00,308.11,212.00,468.22,283.09,366.39
213,95.11,0.00,308.11,213.00,468.80,282.44,366.31
214,94.11,0.00,308.11,214.00,469.39,281.77,366.20
215,93.11,0.00,308.11,215.00,469.98,281.07,366.08
216,92.11,0.00,308.11,216.00,470.57,280.34,365.94
217,91.11,0.00,308.11,217.00,471.15,279.59,365.79
218,90.11,0.00,308.11,218.00,471.74,278.80,365.62
219,89.11,0.00,308.11,219.00,472.33,277.99,365.44
220,88.11,0.00,308.11,220.00,472.92,277.14,365.24
221,87.11,0.00,308.11,221.00,473.50,276.27,365.03
222,86.11,0.00,308.11,222.00,474.09,275.37,364.79
223,85.11,0.00,308.11,223.00,474.68,274.44,364.55
224,84.11,0.00,308.11,224.00,475.27,273.49,364.29
225,83.11,0.00,308.11,225.00,475.85,272.50,364.01
226,82.11,0.00,308.11,226.00,476.44,271.49,363.72
227,81.11,0.00,308.11,227.00,477.03,270.44,363.41
228,80.11,0.00,308.11,228.00,477.62,269.37,363.08
229,79.11,0.00,308.11,229.00,478.20,268.27,362.74
230,78.11,0.00,308.11,230.00,478.79,267.14,362.38
231,77.11,0.00,308.11,231.00,479.38,265.99,362.01
232,76.11,0.00,308.11,232.00,479.96,264.80,361.62
233,75.11,0.00,308.11,233.00,480.55,263.59,361.22
234,74.11,0.00,308.11,234.00,481.14,262.34,360.80
235,73.11,0.00,308.11,235.00,481.73,261.07,360.37
236,72.11,0.00,308.11,236.00,482.31,259.77,359.92
237,71.11,0.00,308.11,237.00,482.90,258.44,359.45
238,70.11,0.00,308.11,238.00,483.49,257.09,358.97
239,69.11,0.00,308.11,239.00,484.08,255.70,358.47
240,68.11,0.00,308.11,240.00,484.66,254.29,357.96
241,67.11,0.00,308.11,241.00,485.25,252.84,357.43
242,66.11,0.00,308.11,242.00,485.84,251.37,356.88
243,65.11,0.00,308.11,243.00,486.43,249.87,356.32
244,64.11,0.00,308.11,244.00,487.01,248.34,355.75
245,63.11,0.00,308.11,245.00,487.60,246.79,355.15
246,62.11,0.00,308.11,246.00,488.19,245.20,354.55
247,61.11,0.00,308.11,247.00,488.78,243.59,353.92
248,60.11,0.00,308.11,248.00,489.36,241.94,353.28
249,59.11,0.00,308.11,249.00,489.95,240.27,352.63
250,58.11,0.00,308.11,250.00,490.54,238.57,351.96
251,57.11,0.00,308.11,251.00,491.13,236.84,351.27
252,56.11,0.00,308.11,252.00,491.71,235.09,350.57
253,55.11,0.00,308.11,253.00,492.30,233.30,349.85
254,54.11,0.00,308.11,254.00,492.89,231.49,349.12
255,53.11,0.00,308.11,255.00,493.48,229.64,348.37
256,52.11,0.00,308.11,256.00,494.06,227.77,347.60
257,51.11,0.00,308.11,257.00,494.65,225.87,346.82
258,50.11,0.00,308.11,258.00,495.24,223.94,346.03
259,49.11,0.00,308.11,259.00,495.83,221.99,345.21
260,48.11,0.00,308.11,260.00,496.41,220.00,344.39
261,47.11,0.00,308.11,261.00,497.00,218.00,343.55
262,46.11,0.00,308.11,262.00,497.59,216.00,342.71
263,45.11,0.00,308.11,263.00,498.18,214.00,341.88
264,44.11,0.00,308.11,264.00,498.76,212.00,341.04
265,43.11,0.00,308.11,265.00,499.35,210.00,340.21
266,42.11,0.00,308.11,266.00,499.94,208.00,339.37
267,41.11,0.00,308.11,267.00,500.53,206.00,338.54
268,40.11,0.00,308.11,268.00,501.11,204.00,337.70
269,39.11,0.00,308.11,269.00,501.70,202.00,336.87
270,38.11,0.00,308.11,270.00,502.29,200.00,336.03
271,37.11,0.00,308.11,271.00,502.88,198.00,335.19
272,36.11,0.00,308.11,272.00,503.46,196.00,334.36
273,35.11,0.00,308.11,273.00,504.05,194.00,333.52
274,34.11,0.00,308.11,274.00,504.64,192.00,332.69
275,33.11,0.00,308.11,275.00,505.23,190.00,331.85
276,32.11,0.00,308.11,276.00,505.81,188.00,331.02
277,31.11,0.00,308.11,277.00,506.40,186.00,330.18
278,30.11,0.00,308.11,278.00,506.99,184.00,329.34
279,29.11,0.00,308.11,279.00,507.58,182.00,328.51
280,28.11,0.00,308.11,280.00,508.16,180.00,327.67
281,27.11,0.00,308.11,281.00,508.75,178.00,326.84
282,26.11,0.00,308.11,282.00,509.34,176.00,326.00
283,25.11,0.00,308.11,283.00,509.93,174.00,325.17
284,24.11,0.00,308.11,284.00,510.51,172.00,324.33
285,23.11,0.00,308.11,285.00,511.10,170.00,323.50
286,22.11,0.00,308.11,286.00,511.69,168.00,322.66
287,21.11,0.00,308.11,287.00,512.27,166.00,321.82
288,20.11,0.00,308.11,288.00,512.86,164.00,320.99
289,19.11,0.00,308.11,289.00,513.45,162.00,320.15
290,18.11,0.00,308.11,290.00,514.04,160.00,319.32
291,17.11,0.00,308.11,291.00,514.62,158.00,318.48
292,16.11,0.00,308.11,292.00,515.21,156.00,317.65
293,15.11,0.00,308.11,293.00,515.80,154.00,316.81
294,14.11,0.00,308.11,294.00,516.39,152.00,315.97
295,13.11,0.00,308.11,295.00,516.97,150.00,315.14
296,12.11,0.00,308.11,296.00,517.56,148.00,314.30
297,11.11,0.00,308.11,297.00,518.15,146.00,313.47
298,10.11,0.00,308.11,298.00,518.74,144.00,312.63
299,9.11,0.00,308.11,299.00,519.32,142.00,311.80
300,8.11,0.00,308.11,300.00,519.91,140.00,310.96
301,7.11,0.00,308.11,301.00,520.50,138.00,310.12
302,6.11,0.00,308.11,302.00,521.09,136.00,309.29
303,5.11,0.00,308.11,303.00,521.67,134.00,308.45
304,4.11,0.00,308.11,304.00,522.26,132.00,307.62
305,3.11,0.00,308.11,305.00,522.85,130.00,306.78
306,2.11,0.00,308.11,306.00,523.44,128.00,305.95
307,1.11,0.00,308.11,307.00,524.02,126.00,305.11
308,0.11,0.00,308.11,308.00,524.61,124.00,304.28
309,0.00,0.00,309.00,309.00,545.10,122.00,312.40
310,0.00,0.00,310.00,310.00,545.56,120.00,311.50
311,0.00,0.00,311.00,311.00,545.99,118.00,310.60
312,0.00,0.00,312.00,312.00,546.40,116.00,309.68
313,0.00,0.00,313.00,313.00,546.79,114.00,308.75
314,0.00,0.00,314.00,314.00,547.16,112.00,307.82
315,0.00,0.00,315.00,315.00,547.50,110.00,306.88
316,0.00,0.00,316.00,316.00,547.82,108.00,305.92
317,0.00,0.00,317.00,317.00,548.12,106.00,304.96
318,0.00,0.00,318.00,318.00,548.40,104.00,303.98
319,0.00,0.00,319.00,319.00,548.66,102.00,302.99
320,0.00,0.00,320.00,320.00,548.89,100.00,302.00
321,0.00,0.00,321.00,321.00,549.10,98.00,301.00
322,0.00,0.00,322.00,322.00,549.29,96.00,299.98
323,0.00,0.00,323.00,323.00,549.46,94.00,298.95
324,0.00,0.00,324.00,324.00,549.60,92.00,297.92
325,0.00,0.00,325.00,325.00,549.72,90.00,296.88
326,0.00,0.00,326.00,326.00,549.82,88.00,295.82
327,0.00,0.00,327.00,327.00,549.90,86.00,294.75
328,0.00,0.00,328.00,328.00,549.96,84.00,293.68
329,0.00,0.00,329.00,329.00,549.99,82.00,292.60
330,0.00,0.00,330.00,330.00,550.00,80.00,291.50
331,0.00,0.00,331.00,331.00,549.99,78.00,290.39
332,0.00,0.00,332.00,332.00,549.96,76.00,289.28
333,0.00,0.00,333.00,333.00,549.90,74.00,288.15
334,0.00,0.00,334.00,334.00,549.82,72.00,287.02
335,0.00,0.00,335.00,335.00,549.72,70.00,285.88
336,0.00,0.00,336.00,336.00,549.60,68.00,284.72
337,0.00,0.00,337.00,337.00,549.46,66.00,283.56
338,0.00,0.00,338.00,338.00,549.29,64.00,282.38
339,0.00,0.00,339.00,339.00,549.10,62.00,281.20
340,0.00,0.00,340.00,340.00,548.89,60.00,280.00
341,0.00,0.00,341.00,341.00,548.66,58.00,278.79
342,0.00,0.00,342.00,342.00,548.40,56.00,277.58
343,0.00,0.00,343.00,343.00,548.12,54.00,276.36
344,0.00,0.00,344.00,344.00,547.82,52.00,275.12
345,0.00,0.00,345.00,345.00,547.50,50.00,273.88
346,0.00,0.00,346.00,346.00,547.16,48.00,272.62
347,0.00,0.00,347.00,347.00,546.79,46.00,271.35
348,0.00,0.00,348.00,348.00,546.40,44.00,270.08
349,0.00,0.00,349.00,349.00,545.99,42.00,268.79
350,0.00,0.00,350.00,350.00,545.56,40.00,267.50
351,0.00,0.00,351.00,351.00,545.10,38.00,266.20
352,0.00,0.00,352.00,352.00,544.62,36.00,264.88
353,0.00,0.00,353.00,353.00,544.12,34.00,263.56
354,0.00,0.00,354.00,354.00,543.60,32.00,262.22
355,0.00,0.00,355.00,355.00,543.06,30.00,260.88
356,0.00,0.00,356.00,356.00,542.49,28.00,259.52
357,0.00,0.00,357.00,357.00,541.90,26.00,258.15
358,0.00,0.00,358.00,358.00,541.29,24.00,256.78
359,0.00,0.00,359.00,359.00,540.66,22.00,255.39
360,0.00,0.00,360.00,360.00,540.00,20.00,254.00
361,0.00,0.00,361.00,361.00,539.32,18.00,252.59
362,0.00,0.00,362.00,362.00,538.62,16.00,251.18
363,0.00,0.00,363.00,363.00,537.90,14.00,249.75
364,0.00,0.00,364.00,364.00,537.16,12.00,248.32
365,0.00,0.00,365.00,365.00,536.39,10.00,246.88
366,0.00,0.00,366.00,366.00,535.60,8.00,245.42
367,0.00,0.00,367.00,367.00,534.79,6.00,243.96
368,0.00,0.00,368.00,368.00,533.96,4.00,242.48
369,0.00,0.00,369.00,369.00,533.10,2.00,241.00
370,0.00,0.00,370.00,370.00,532.22,0.00,239.50
371,0.00,0.00,371.00,371.00,531.32,-2.00,237.99
372,0.00,0.00,372.00,372.00,530.40,-4.00,236.48
373,0.00,0.00,373.00,373.00,529.46,-6.00,234.95
374,0.00,0.00,374.00,374.00,528.49,-8.00,233.42
375,0.00,0.00,375.00,375.00,527.50,-10.00,231.88
376,0.00,0.00,376.00,376.00,526.49,-12.00,230.32
377,0.00,0.00,377.00,377.00,525.46,-14.00,228.75
378,0.00,0.00,378.00,378.00,524.40,-16.00,227.18
379,0.00,0.00,379.00,379.00,523.32,-18.00,225.59
380,0.00,0.00,380.00,380.00,522.22,-20.00,224.00
381,0.00,0.00,381.00,381.00,521.10,-22.00,222.40
382,0.00,0.00,382.00,382.00,519.96,-24.00,220.78
383,0.00,0.00,383.00,383.00,518.79,-26.00,219.15
384,0.00,0.00,384.00,384.00,517.60,-28.00,217.52
385,0.00,0.00,385.00,385.00,516.39,-30.00,215.88
386,0.00,0.00,386.00,386.00,515.16,-32.00,214.22
387,0.00,0.00,387.00,387.00,513.90,-34.00,212.55
388,0.00,0.00,388.00,388.00,512.62,-36.00,210.88
389,0.00,0.00,389.00,389.00,511.32,-38.00,209.19
390,0.00,0.00,390.00,390.00,510.00,-40.00,207.50
391,0.00,0.00,391.00,391.00,508.66,-42.00,205.79
392,0.00,0.00,392.00,392.00,507.29,-44.00,204.08
393,0.00,0.00,393.00,393.00,505.90,-46.00,202.35
394,0.00,0.00,394.00,394.00,504.49,-48.00,200.62
395,0.00,0.00,395.00,395.00,503.06,-50.00,198.88
396,0.00,0.00,396.00,396.00,501.60,-52.00,197.12
397,0.00,0.00,397.00,397.00,500.12,-54.00,195.36
398,0.00,0.00,398.00,398.00,498.62,-56.00,193.58
399,0.00,0.00,399.00,399.00,497.10,-58.00,191.80
