,,,,,,P(D≤Q0)=cu/(cu+co)=,0.62,,,,,,,,,,,,,
,,,,,,,207,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,(Q0 can be  Q0/low only since Q0/high is higher qty than Q2/low),,,,,,,,,,,,,,,,,
,,,,So pay off table,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
(c),,,Expected Sales and left over,,Expected Sales and left over,States of Nature,,,,,,,,,,,,,,
,,,,,D⏐High,,,,,,,D⏐low,,,,,,,,
,,,,,Exp. sales,,,,,Exp. Left over,Exp. sales,,,,,,Exp. Left over,,,
,,,Single order 352,,,,,,317,35,,Since Qty ordered is > Max demand,,,=,190,162,,,
,,,Single order 330,,,,,,308,23,,Since Qty ordered is > Max demand,,,=,190,140,,,
,,,Single order 190,,since min. demand is 240,,,=,190,0,,,,,,173,18,,,
,,,Single order 207,,since min. demand is 240,,,=,207,0,,,,,,180,27,,,
,,,"dual order 190, (352-190)",,,,,,317,35,,Since Qty ordered is > Max demand,,,=,190,162,,,
,,,"Dual order 190, (330-190)",,,,,,308,23,,Since Qty ordered is > Max demand,,,=,190,140,,,
,,,"Dual order 190, (207-190)",,since min. demand is 240,,,=,207,0,,,,,,180,27,,,
,,,"Dual order 207, (352-207)",,,,,,317,35,,Since Qty ordered is > Max demand,,,=,190,162,,,
,,,"Dual order 207, (330-207)",,,,,,308,23,,Since Qty ordered is > Max demand,,,=,190,140,,,
,,,"Dual order 330,(352-330)",,,,,,317,35,,Since Qty ordered is > Max demand,,,=,190,162,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Expected Profit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,D⏐High,,D⏐low,,E(Profit),,E(Profit),E(Profit),E(Profit),E(Profit),E(Profit),E(Profit),E(Profit),E(Profit),E(Profit)
,,,Single order 352,,,545,,36 ,,331,,189,239,214,265,290,341,392,443,494
,,,Single order 330,,,550,,80 ,,353,,221,268,245,292,315,362,409,456,503
,,,Single order 190,,,360,,290 ,,331,,311,318,315,322,325,332,339,346,353
,,,Single order 207,,,394,,286 ,,349,,318,329,324,335,340,351,362,372,383
,,,"dual order 190, (352-190)",,,438,,(81),,220,,75,126,100,152,178,230,282,334,386
,,,"Dual order 190, (330-190)",,,453,,(24),,253,,119,167,143,191,214,262,310,357,405
,,,"Dual order 190, (207-190)",,,364,,261 ,,321,,292,302,297,307,312,323,333,343,353
,,,"Dual order 207, (352-207)",,,448,,(71),,230,,85,137,111,163,189,240,292,344,396
,,,"Dual order 207, (330-207)",,,463,,(14),,263,,129,177,153,201,225,272,320,368,415
,,,"Dual order 330,(352-330)",,,537,,3 ,,313,,163,217,190,243,270,323,377,430,484
,,Probability,,,,0.58,,0.42,,0.58,D⏐High,0.3,0.4,0.35,0.45,0.5,0.6,0.7,0.8,0.9
,,,,,,,,,,,,,,,,,,,,
(d),,,,VOSRC=,-49,,,,,,,,,,,,,,,
,,,,So Not to pay anything,,,,,,,,,,,,,,,,
